entry_index,exit_index,entry_time,exit_time,position,entry_price,exit_price,pnl,size,equity_after,exit_reason
623,632,2010-02-10 01:00:00,2010-02-10 10:00:00,long,4169.75,4161.0,-2091.25,239,982406.0,stop_loss
633,644,2010-02-10 11:00:00,2010-02-10 23:00:00,long,4161.25,4172.0,2580.0,240,980314.75,eod
647,654,2010-02-11 02:00:00,2010-02-11 09:00:00,long,4172.5,4159.5,-3107.0,239,982894.75,stop_loss
655,656,2010-02-11 10:00:00,2010-02-11 11:00:00,long,4161.0,4189.0,6720.0,240,979787.75,take_profit
661,663,2010-02-11 16:00:00,2010-02-11 19:00:00,long,4195.75,4190.75,-1190.0,238,986507.75,stop_loss
666,667,2010-02-11 22:00:00,2010-02-11 23:00:00,long,4191.25,4190.5,-178.5,238,985317.75,eod
668,669,2010-02-12 00:00:00,2010-02-12 01:00:00,long,4193.5,4194.0,119.0,238,985139.25,eow
671,672,2010-02-12 03:00:00,2010-02-12 04:00:00,long,4189.75,4185.25,-1071.0,238,985258.25,stop_loss
674,675,2010-02-12 06:00:00,2010-02-12 07:00:00,long,4179.75,4181.0,298.75,239,984187.25,eow
676,677,2010-02-12 08:00:00,2010-02-12 09:00:00,long,4183.0,4179.5,-836.5,239,984486.0,eow
678,679,2010-02-12 10:00:00,2010-02-12 11:00:00,long,4178.25,4185.5,1732.75,239,983649.5,eow
680,681,2010-02-12 12:00:00,2010-02-12 13:00:00,long,4195.75,4190.5,-1249.5,238,985382.25,stop_loss
682,683,2010-02-12 14:00:00,2010-02-12 15:00:00,long,4195.25,4196.25,238.0,238,984132.75,eow
684,686,2010-02-12 16:00:00,2010-02-14 19:00:00,long,4201.75,4196.75,-1185.0,237,984370.75,stop_loss
710,720,2010-02-16 01:00:00,2010-02-16 11:00:00,long,4201.0,4214.5,3213.0,238,983185.75,take_profit
723,731,2010-02-16 14:00:00,2010-02-16 23:00:00,long,4214.75,4221.0,1481.25,237,986398.75,eod
755,769,2010-02-18 00:00:00,2010-02-18 14:00:00,long,4228.25,4242.5,3363.0,236,987880.0,take_profit
772,777,2010-02-18 18:00:00,2010-02-18 23:00:00,long,4224.25,4223.25,-236.0,236,991243.0,eod
780,781,2010-02-19 02:00:00,2010-02-19 03:00:00,long,4221.5,4229.75,1947.0,236,991007.0,eow
783,784,2010-02-19 05:00:00,2010-02-19 06:00:00,long,4228.75,4229.75,236.0,236,992954.0,eow
785,786,2010-02-19 07:00:00,2010-02-19 08:00:00,long,4233.25,4237.0,885.0,236,993190.0,eow
788,789,2010-02-19 10:00:00,2010-02-19 11:00:00,long,4237.5,4246.0,1997.5,235,994075.0,eow
794,800,2010-02-19 16:00:00,2010-02-21 23:00:00,long,4236.75,4243.75,1652.0,236,996072.5,eod
801,810,2010-02-22 00:00:00,2010-02-22 09:00:00,long,4243.5,4235.5,-1880.0,235,997724.5,stop_loss
811,823,2010-02-22 10:00:00,2010-02-22 23:00:00,long,4234.5,4240.5,1416.0,236,995844.5,eod
826,829,2010-02-23 02:00:00,2010-02-23 05:00:00,long,4244.5,4232.25,-2878.75,235,997260.5,stop_loss
830,834,2010-02-23 06:00:00,2010-02-23 10:00:00,long,4231.0,4216.0,-3540.0,236,994381.75,stop_loss
835,846,2010-02-23 11:00:00,2010-02-23 23:00:00,long,4212.0,4220.0,1896.0,237,990841.75,eod
848,850,2010-02-24 01:00:00,2010-02-24 03:00:00,long,4222.75,4217.75,-1180.0,236,992737.75,stop_loss
852,857,2010-02-24 05:00:00,2010-02-24 10:00:00,long,4220.25,4234.25,3304.0,236,991557.75,take_profit
859,861,2010-02-24 12:00:00,2010-02-24 14:00:00,long,4232.25,4225.25,-1652.0,236,994861.75,stop_loss
862,868,2010-02-24 15:00:00,2010-02-24 22:00:00,long,4230.25,4223.25,-1652.0,236,993209.75,stop_loss
870,879,2010-02-25 00:00:00,2010-02-25 09:00:00,long,4219.0,4203.25,-3732.75,237,991557.75,stop_loss
880,883,2010-02-25 10:00:00,2010-02-25 13:00:00,long,4203.5,4221.5,4266.0,237,987825.0,take_profit
