pattern_long,NetProfit,AvgTrade,WinRate,MaxDrawdown,Trades
P12,725.75,1.9721467391304348,49.45652173913043,1132.75,368
P13,6881.5,4.091260404280618,54.10225921521997,1490.25,1682
P14,5866.75,4.6524583663758925,53.44964314036479,1490.25,1261
